video_id,video_name,comment_id,comment,username,class
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,UgwrrhBTfnr2Kocluep4AaABAg,"Note that downsyndrome people have a harder time with muscle control and coordination, this guy is amazing and a great inspiration to all, even the less fortunate.",Grom's WoW Guide,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),UgyEmVa0CS1l7WBfXc54AaABAg,Such talent in one so young. May you always bring a smile to all of your fans.,Brian Dutcher,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,Ugx-OrCjx3kx97ie_cJ4AaABAg,"Your content has been fantastic lately, Magnus. Very entertaining as well as informative.",Maurice Fricke,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,UgyrzDCVklJqTQU3KdN4AaABAg,"Ever since I saw you and Juji doing arm wrestling I've felt you would be really good at it with some practice. The tendons and strength is already there for you, you just need technique and table practice.",Ryan Showalter,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgxfLByqYaom8UO4Wut4AaABAg.9ok1cxGHgQJ9omggjBrnBD,"​@LifeIsShørt bro trying to stereotype Ubisoft being a crap company, when literally there are far worse ones. But I also love the fact the community is also to blame because they ask for so much, but remain non specific what they really want. So instead they blame ubisoft for everything.",Voth Betilia,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugz1Bkoyt5HjtxlLCuV4AaABAg,This game looks so fun. I hope the devs can pull it off and bring this game all the way to the finish line,Mateo K,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugwvu7H6eIoOCtCznY14AaABAg,I can't explain how excited I am to play this game,Nathaniel DeVinney,ham
1BZ0Zb8PE68,Arsenal rescue late point in SIX-GOAL THRILLER! 🤯 | Arsenal 3-3 Southampton | EPL highlights,UgyXM9UDDtHgLIUA3-54AaABAg.9omZshYPv869onyE4i6Dtp,Amen,náisiún na hÉireann,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,Ugy3gM_WyDjBIq6aaRt4AaABAg.9ogrYIjr9bu9ol5WD0cGm6,SIGNED!!💚🤍🧡,OneDirectionEdits🆔️ˣ‿ˣ #HeavenNH3,ham
EuPIOF0LG70,The Cookie Clicker Experience,UgyaXIN-fONIXO4l-vl4AaABAg.9oZmlGVvdht9odshUDe82Q,The jame's Nond. Bames Nond.,Revengist,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,Ugz90yrJczODBwPkT0p4AaABAg,"What a masterpiece with so much meaning, truly inspiring to me personally, helped me get through a tough day",SupraXIII,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,UgzFnV8dpomHIlfqZsx4AaABAg,i hope respawn sees all this titanfall 2 content coming out and resume making titanfall legends,anderson mccann,ham
GqcR8t9DyEc,Best tiktok songs 2023 🍦 Trending tiktok 2023 ~ Tiktok viral songs,UgzNfQ2hCQkmLeHrVqF4AaABAg.9nrjPo0pf8Q9nsgezw1HzO,Thank you. You too. Please have a beautiful day,Personal,ham
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,UgzY1s_JSvHxkcEiPVp4AaABAg,i'll never get tired of sidemen and friends playing among us,Solveig G,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),Ugw9ovesjx5HHJvxTdN4AaABAg,"Another great performance by you that has me shaking my head in disbelief! Your vocal range, piano arrangement and amazing dress takes this video way over the top! 💖💖🎹🎹👏👏.",Douglas Meeker,ham
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,Ugz8jt--Pqg3qBxIH2t4AaABAg.9ndDNEPsfRi9ndQEdJqBXG,Yo wassup tristyn,Nitrix,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,Ugya5jnp7ajPk2yfpVN4AaABAg.9oD3W_RsT059ooSd8Y8Rp3,Ok,Gumy Woorm,ham
EuPIOF0LG70,The Cookie Clicker Experience,UgzqCeFFZ-euRjB7cLx4AaABAg,The fact that this video is not secretly a CoC video just hurts..,Hentori,ham
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,UgwrrhBTfnr2Kocluep4AaABAg.9nbbepQvwCx9o71j5OEtTP,Nah not really. Down syndrome along with cancer are the trending diseases that get hits on the internet.,Mr CAM0,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),UgzpcQciurv0K8ZDfbJ4AaABAg,"Beautiful hair work! Beautiful dress! Beautiful piano play! Beautiful voice! Well, in nutshell you can say....Perfect beauty in all aspects.",Mathias Dreßke,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,UgyDZZe3U2oYfmGqkWJ4AaABAg,Watching new people play Titanfall makes me so happy,Dunkopf,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,UgwLFcisGdvodEYdY3J4AaABAg,Whoever picked Jack Black to be Bowser needs a huge raise. Jack Black is a legend. Get him a grammy and an oscar asap.,Aria: Come Fast To Get Into My Body,spam
EuPIOF0LG70,The Cookie Clicker Experience,UgwXdMKtOE2_ckrEPHB4AaABAg,i love the effort dragoon puts inside of us every upload,whar,ham
EuPIOF0LG70,The Cookie Clicker Experience,Ugx_NVIj1JooF2dTahl4AaABAg.9oZpcD4NjFd9ojzmBvA1_t,fr,Happy ϟ,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,UgwARVRfj1WX6ifJMnJ4AaABAg,This song resonates with everyone who's ever experienced unrequited love. I think there is a difference between obsession & genuinely caring about someone who doesn't feel the same way towards u.,Negged Man,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugyp3mOiEJF2a8XrgJp4AaABAg,The fact that the devs of this game are able to release these updates and make changes from feedback so fast is incredible,320 ms,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgwuOSD_qUFXykN9qBF4AaABAg,NIALL 😭😭😭 this is stunning. The harmonies from the backing singers too woweeee 🤩,Shelley Mill,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgxJkpQ5J3-xWES28354AaABAg,"This song fits his voice so well, it sounds so beautiful soft",Maylin,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,Ugw2c3FWTbZyN0hmIER4AaABAg,"""you workout a lot?"" ""I deliver furniture"" thats fucking awesome. Holy shit that guy was strong",Richard,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,UgxVU8NiqweUgVt9OdJ4AaABAg,Cole and jack are genius. And whoever else is smart enough to let cole direct this! Good move. That’s why it’s viral. Genuine people caring about what the art they’re creating.,Cody Griffis,ham
gMq-I0dejjE,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),UgwYsaWL7RSn7h-f0WB4AaABAg,Mis reinas las mejores ❤,Joa Flores,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,UgybC8MzYpftyu88qtx4AaABAg,"I did 100% of this, just to show my love and passion with this game, it transports me to another world, galaxy...i just love it so much, and together with volkor X's tracks I just go berserker mode while vibing, and i was thinking about replaying it again lol",Immatheloser,ham
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,Ugx5MNtzwodZuOZPwZF4AaABAg.9nbaNo7TtID9of8cBDHeyp,I tore my biceps right off the bone. Is that an excuse?,Paladinlife,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),UgyMV3jL-orgXDdEqb54AaABAg,Incredible musicianship and the voice is astounding. Quite breathtaking Emily,Chris S,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgxfLByqYaom8UO4Wut4AaABAg.9ok1cxGHgQJ9omKXWrigGH,@Zack damn i actually like watch dogs but tbf i only played 1 & 2 havent touched legion yet. how does it compare,LifeIsShørt,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,UgxVbYAYdzi8hmMw1lt4AaABAg,That was a masterpiece. He rocks too hard because he’s not a mortal man.,El Estepario Siberiano,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgzaHfpesBb6B14hH_V4AaABAg,"I think they could and should do a solo ranked mode, similar to the mercenary modes in old cod games. Also there like 14 maps in the beta im pretty sure. More than mw2 and they’re actually playable 😂",unluckycharms,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,UgyZexsyub0x0nMbppt4AaABAg,People love how Jack will always find an excuse to sing in every movie. The man makes wanna be a rockstar,50k challenge with 0 video,spam
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,Ugyhh8v3xS-lqs3mzR54AaABAg.9nL2fHoKs6C9nnZVP3HslI,Crayola,Omega the Lightsworn,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgzTidtXc-CmWamGg8p4AaABAg,Finally she gets the recognition she deserves,Gobans Sibia,ham
EuPIOF0LG70,The Cookie Clicker Experience,Ugxto_P24wpmHT48ay14AaABAg.9obP3pOexTX9oo2Cwdx4zJ,Ok,guy man,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgyUhUg96k3yFnChrIN4AaABAg,THE BACKGROUND SINGERS SLAYED SO HARD,Katie Robbins,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgynE8W2rKz5krwzRJ14AaABAg,XDefiant has been great to watch! The colors within the game make it far more vibrant as well. Can't wait to see this one 🔥,Minus All Elite,ham
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,UgzOqsM-qWsvtzXGaIt4AaABAg,Vik is becoming better at being the imposter by the day,Jessy-Come Fast To Get Into My Body,spam
bKDkiafC7-U,We Played Roblox Battlefield,UgwsjlMtdtVWpCDGzNh4AaABAg,glad to see that Matt made a guest appearance really quick at the end,CrossTH3JOK3R,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgxpzhOY0ZNmVO49yud4AaABAg,"Oh my god, his voice is pure magic",aliceee yolo,ham
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,UgynhBkWbqRzv-zmJGV4AaABAg,"Ларри ты настоящий мужик,сильный,добрый,внимательный!Ты мотивируешь детей и людей с особенностями развития заниматься спортом и не опускать руки!Спасибо,Бог все видит🤝",Руссо Туристо,spam
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,UgzT0jth46Imzwukb9B4AaABAg.9om8iUYD9NF9onwvb9Isqm,@MO Messiboy Randy was right about Lachlan though,Deathmare,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgyTOxs-4XntjjNvOAt4AaABAg,"Ceilings, plaster
Can't you just make it move faster?
Lovely to be sitting here with you
You're kinda cute but it's raining harder
My shoes are now full of water
Lovely to be rained on with you
It's kinda cute but it's so short
Then you're drivin' me home
And I don't wanna leave
But I have to go
You kiss me in your car
And it feels like the start of a movie I've seen before
Before
Bedsheets, no clothes
Touch me like nobody else does
Lovely to just lay here with you
You're kinda cute and I would say all of this
But I don't wanna ruin the moment
Lovely to sit between comfort and chaos
But it's over
Then you're drivin' me home
And it kinda comes out as I get up to go
You kiss me in your car
And it feels like the start of a movie I've seen before
But it's not real
And you don't exist
And I can't recall the last time I was kissed
It hits me in the car
And it feels like the end of a movie I've seen before
Before",AnuShri,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),UgwiVNo9xMaRELjvA2N4AaABAg,Brought tears to my eyes...  ...just as Queen did when this was first released.  Wonderful!,Frank DeMarco,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgxfLByqYaom8UO4Wut4AaABAg.9ok1cxGHgQJ9omPUMnaFQ5,@Aaron Chumm Siege has done a better job handling cheaters than COD has despite not being nearly as profitable. COD should have the best anti-cheat ever conceived given how much money Activision makes off of it.,Zack,ham
6x7Sbiy5Pw0,How to SHOOT WITH POWER Regardless of your Technique,UgzEBxi2n2TAvQsyjuR4AaABAg,"Thank you man. I found out the reason my kicks sucked is that I forgot to fully commit to my shoots and I was not straightening my leg correctly.

YOUR A LEGEND",Mythz Matrix,ham
GqcR8t9DyEc,Best tiktok songs 2023 🍦 Trending tiktok 2023 ~ Tiktok viral songs,UgxBXMcMeQCETrbFEaF4AaABAg.9ns7so8mszW9nu8sli6H1L,"That actually made my day❤ I had a really bad day, and to anyone that reads my comment, it will better ❤️‍🩹",Relatable_s]!m€,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgyRew_-PYQhwg763m94AaABAg,Thank you for doing this for all of your fans! I really respect your work for us!,𝗚𝗘𝗧 𝗥𝗢𝗕𝗨𝗫 𝗢𝗡 𝗠𝗬 𝗣𝗥𝗢𝗙𝗜𝗟𝗘🎃,spam
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgyO4FIGScZpM4hiA7F4AaABAg,"Definitely, underrated artist ever...out of the 1D boys, he's the most versatile. Not fair that his music is not as popular as it should be, it should be on top of charts & winning awards. Not that he needs to have it to be valued as a real artist, but he deserves it. 👌❤️🌟",PurpleMay 67,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,Ugw0ZM9MqDXqX3gzFvB4AaABAg.9lluAB4-b-O9oNJd7JC0Nb,please i recently replayed it and it’s just so good but the multiplayer….. idk needs more ppl,Grey,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,Ugz5Amq-7AIf7A1i5C94AaABAg,"Etienne is such a nice and humble guy. What a champion. You put up a hell of a showing too Magnus, I didn't think you'd ever give him a turn at the table! haha.",Jason Child,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,UgxPZfyPnvD244KYcBV4AaABAg,"Wow, that one guy was so aggressive. I really thought that he was going to punch you.",colaboytje,ham
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,UgwrnpAorpgWDLYOUZp4AaABAg,Sidemen never fails to entertain,Subbing to Everyone Who Subs to me,spam
bKDkiafC7-U,We Played Roblox Battlefield,Ugy4mASjAo9ruKnHZkt4AaABAg,This smitty plus video is my absolute favourite video. The in-game talking and random soldier talk makes it so unique,RokStar,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,Ugw0ZM9MqDXqX3gzFvB4AaABAg,Damn did this make me wanna redownload Titanfall2 to play it again for both the Campaign and multiplayer,LouisTorres00,ham
6x7Sbiy5Pw0,How to SHOOT WITH POWER Regardless of your Technique,UgxjMSredFYv4PUFkGB4AaABAg,Best video on shooting power on the internet so far. Been searching for this for years and watched everything I've found. This had loads of concepts that I have never seen explained elsewhere. Multiple lightbulb moments!💡,Arni Maack,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,Ugz75YzFNNKnKbJSX694AaABAg,"I hope there is gonna be a video of you two rock climbing! 
Would be funn as hell to switch the roles of teacher and student :D",Markus,ham
1BZ0Zb8PE68,Arsenal rescue late point in SIX-GOAL THRILLER! 🤯 | Arsenal 3-3 Southampton | EPL highlights,UgxBDx99CP3tceEakcN4AaABAg,"What vexes me about performances like this is that we always create enough chances to win comfortably, but don't tuck them away 😭",The CNSR,ham
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,UgzT54kv1WlXaRsHshB4AaABAg,The vik and Simon double kill by Danny and Lachy is gonna be an ICONIC moment. All the IQs of the lobby just straight up washed away,CRYPTIX YT,ham
EuPIOF0LG70,The Cookie Clicker Experience,UgyaXIN-fONIXO4l-vl4AaABAg,Dragoon isn't descending into madness. He's always been like this.,Emo Chicken,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgxiYq1ETo9YZdgp38V4AaABAg,"honestly every version of this song is pretty bc ceilings is just that
but nial, the harmonies, the setting n everything make this amazing!!",Vanessa Adelin,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),Ugz0Q-LaSXcRwcIE_3J4AaABAg.9oPseFP30ui9oY0IMs3XSW,"​@Norman Crepon I totally agree with you, but let's all the fans help her to reach the first million and the others will come.",Javier Dianez Millán,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugy45vnumtg8MCLTkad4AaABAg,Haven’t been excited for a game like this since BO3,Edger John,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),Ugyzl53hJK49Gnlg9lB4AaABAg,"Cracking effort at covering probably the greatest pop song of all time. Props to you as ever, Emily.",Chris Hodgson,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,UgwQ6dEi9EGQQORbrfN4AaABAg.9nXbwLwnHiM9nuWfLKbeey,"Dude same I feel this one, was waiting for the game to finish uploading, lost my progress and almost cried",Blu3 Gam3r _,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,UgxwXN5wt65KLz7-utZ4AaABAg.9oKGQX61K489ooCrlH0rlm,Dude was almost 400lbs. LOL,Adam NA,ham
EuPIOF0LG70,The Cookie Clicker Experience,UgyyTX_2YFYRB07DpSB4AaABAg,"“And with this golden cookie, I get- lucky.” As a cookie enthusiast I have never related to something as hard as that",Aeiou ,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugw1WsUYgUmHfEFzy794AaABAg,i want to play this game so bad i hope they do an open beta,dumb daryl,ham
gMq-I0dejjE,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),Ugy_Dsa8PzEI15JcQ8J4AaABAg,I love how Nicki always adds her own flow but still manages to match the theme of the artist she’s collaborating with💞💞,Endri2021,ham
6x7Sbiy5Pw0,How to SHOOT WITH POWER Regardless of your Technique,Ugx49RQCUFKVXmTlhjF4AaABAg.9n9F8A0sHPk9oVb9w-BjrL,"@djfunkychicken what if it’s a knuckleball shot your trying to make it go high?
Same thing?",Clown King,ham
bKDkiafC7-U,We Played Roblox Battlefield,UgyKUIbWIxmBdKDIrY94AaABAg,Proximity chat truly is a gift to mankind.,William Davis,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,UgxR1NfGBJjHMHVd7xB4AaABAg,I love this song. Niall you have a beautiful voice and I am so proud of you!!!😊,Hsfan28💚,ham
EuPIOF0LG70,The Cookie Clicker Experience,Ugxto_P24wpmHT48ay14AaABAg.9obP3pOexTX9ol6u063BF5,Nice,Kuldeep Soni,ham
gMq-I0dejjE,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),UgzwtKnPzAzeriOc5CR4AaABAg,Nicki never disappoints ❤,Desmund Moran,ham
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,Ugw3CiDtMSzDn8Vok3B4AaABAg,We need more lachlan and danny as impostors,Crowkid 555,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,UgxXc7OOX1JKRGeBuyp4AaABAg,Magnus this kind of format is extraordinary : making other disciplines and experts look good and make it such a fantastic vibe reality show... You're killing it!,Bastien C.,ham
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,Ugz6_3d4YiElqfj0X6d4AaABAg,"Unbelievable B2B win for Lachlan and Danny,Brillinat stuff from them both 😂👍✅",Adam Barry,ham
gMq-I0dejjE,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),UgzxSO9iMlLi8KAu6gV4AaABAg,Nicki really gets other artists to elevate their level! People love it when anyone collabs with her,50k challenge with 0 video,spam
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,UgwYdlDBzg6Ggb2oqXZ4AaABAg,It's great to see people just enjoying themselves like this - everyone in a good mood and having fun.,expat2010,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgzlllkdEy2c2cnSVGF4AaABAg,"What I just realized is after watching like 5 videos of Jev playing and based on how everyone is actually playing the game like an old COD by running around and everything, I have 0 clue if you can go prone in this game lol",Brandon Dulom,ham
gMq-I0dejjE,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),UgwTkItYnycxbrX1TP54AaABAg,"15 years later and she still on top , that's what people call a LIVING LEGEND",50k challenge with 0 video,spam
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,UgykzLyYxkfYnJ3hCY54AaABAg,if it comforts you to know... you could use the little wall before the gauntlet to gain massive time as you start at a much higher speed than if you just ran,idk anymore,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,Ugw0ZM9MqDXqX3gzFvB4AaABAg.9lluAB4-b-O9oD8t_1hl5d,Yes same,Jeremy,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugy36J71MYphWNgxLqV4AaABAg,Love your videos please never stop making people think about different opinions and smiling and laughing at your rage,Kwack,ham
EuPIOF0LG70,The Cookie Clicker Experience,Ugxg2gZeykZEGtuqVlx4AaABAg,"This man spent a month on fking Cookie Clicker, then wrote a 25-minute script and managed to make every second entertaining.  Amazing.",DamascusRaven,ham
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,UgwrrhBTfnr2Kocluep4AaABAg.9nbbepQvwCx9o6ahZPAbpD,"@R oh my god no, no😂😂",Keyboard Warrior,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),UgxU6xsbMycGGnv7tyh4AaABAg.9oPpexzblSi9oPqd7BZHEM,"I hope she sees this bro, im rooting for you.",GLaDOS,ham
6x7Sbiy5Pw0,How to SHOOT WITH POWER Regardless of your Technique,UgwvYliSE2KwyZRi7YB4AaABAg.9mEB2ENKBgH9mFLBD93jLg,Hh,ITSytyt,spam
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,UgzOXBIFyb_BM_qJpQN4AaABAg,5:47 I love that you recognized that was an odd position and checked. It really shows you’re prioritizing safety and sportsmanship here,Aeselli,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgwYuTgSFDm3fiW5sNB4AaABAg,"i cannot stop watching these vids, they make me think of mw3 but in ubi style, can’t wait to get my hands on it",Hazardbyte,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),UgwZSwVj4howEsUR_sd4AaABAg.9oQ7lz2bYGb9oQAUI5hSop,Great comment - 💯 It's almost impossible to describe this amazing performance.,Blue Sky,ham
1BZ0Zb8PE68,Arsenal rescue late point in SIX-GOAL THRILLER! 🤯 | Arsenal 3-3 Southampton | EPL highlights,UgyXM9UDDtHgLIUA3-54AaABAg.9omZshYPv869oo0Szh3O9Z,@Cornelius Harris but getafe isn’t touching aletico or even real,Io ng,ham
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,UgxBIGi2kPcUvAF4gGJ4AaABAg,"What a great Dad , absolute legend 🙏",MrSeeks,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgwcbqKmksCHfvRojft4AaABAg,Can not wait to play. Jev has hyped this up so much. Love the videos,Dustinc,ham
