video_id,video_name,channel_name,comment_id,comment,username,class
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,MoreSidemen,UgwRa4dUVjXBejLB-z14AaABAg,Those two winning that second game is one of the most impressive thing I’ve ever seen,Cameron Bierman,ham
UJPP4368So4,Police Can't Stop Self-Driving Car,Daily Dose Of Internet,UgzqlyzVfJzIyui7cXh4AaABAg,"I appreciate the full video of cuteness! The chicken brought back memories. My giant rooster used to full on fall asleep in warm baths and we'd have to hold his head up out of the water. He'd wake up if we said his name or his face went underwater (which we never let happen), but otherwise he loved his warm soaks till the day I lost him",Tori Quill,ham
-SYwOAe6V_4,ASMR for Those Who Want to Sleep Soundly Now / 3Hr (No Talking),Coromo Sara. ASMR,UgwZzdx4P70OQcUGjtl4AaABAg,I never knew you got this tingly feeling when listening to ASMR,Skibbles789,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),Emily Linge,UgzpcQciurv0K8ZDfbJ4AaABAg.9oQ-FNWGYhW9oYlod9y0FU,"[MAIN] Beautiful hair work! Beautiful dress! Beautiful piano play! Beautiful voice! Well, in nutshell you can say....Perfect beauty in all aspects. [REPLY] Thank you so much 😀",Emily Linge,ham
Kdax_IQXZtE,Deputy PM Dominic Raab resigns over bullying report,Channel 4 News,UgwCJ0D3HhEW4KjBLBR4AaABAg.9omc9K2usMq9onrTP8uAin,[MAIN] Bullies never want to admit they are bullies. His language is very clear...no remorse. In fact he feels he is the victim. [REPLY] @Collette Post what specifically did you find offensive in the report? as far as i can tell he basically just chastised people who did a bad job.,Dan H,ham
BQO0AMveaFk,"Threshold for bullying in danger of being too low, says Dominic Raab",Guardian News,Ugz1pe1kBPATLG-AXD14AaABAg,"The pulsating rage vein on his head has spoken, ""we did no wrong, we are the victims, we will regroup and come back when Boris returns """,A M,ham
2FGR-OspxsU,10-Minute Meditation For Healing,Goodful,UgxX9-rSv-Tkzqc9mrV4AaABAg.9XLyWnmK0Nc9iDU7v9Dzaa,"[MAIN] If you are reading this, you are stronger than you thought. Whatever you are trying to heal is healing. Sending love to you from the bottom of my heart.💛💛💛 [REPLY] Miss or sir I'm a kind 13 year old with a broken finger and it hurts what do I do",Edwielle Constance,neutral
ShNcXwPwAns,Behind the Stream: Inside the Life of xQc,xQc,Ugx3FBXDc0tuISHqhcB4AaABAg.9oXbOUF4c1L9oYcziJjJhS,"[MAIN] I like how the cameraman felt like a genuine friend within the group rather than just someone being hired to do the job. [REPLY] @xScopeLess wait, what are you saying?",Kyle Mac,neutral
1ZYbU82GVz4,"Relaxing Sleep Music • Deep Sleeping Music, Relaxing Music, Stress Relief, Meditation Music (Flying)",Soothing Relaxation,UgxVQYry8mWU9gma1VZ4AaABAg.9lVgnI2Cas49oRVfoBZ9cf,"[MAIN] Good night everyone! 😴 This music is called ""Flying"" by Peder B. Helland.
12-hour version: https://www.youtube.com/watch?v=lh4JdZTJe7k
We also have a 10-hour version with a black screen: https://www.youtube.com/watch?v=ZMLBHgDe8AU
The original single by Peder B. Helland (30 minutes): https://www.youtube.com/watch?v=mBsaY0OcYpY
I hope you enjoy the music and thank you for listening to Soothing Relaxation! 😊 [REPLY] wow",E7,neutral
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,FaZe Jev,UgwYuTgSFDm3fiW5sNB4AaABAg,"i cannot stop watching these vids, they make me think of mw3 but in ubi style, can’t wait to get my hands on it",Hazardbyte,ham
saGPmoEuivc,MY FIRST BOXING FIGHT... I BROKE HER NOSE!?,BotezLive,UgwAFY790UGA7k8HNyN4AaABAg,You took a million punches to the face and didn’t even flinch. HUGE RESPECT.,Jedidiah Huang,ham
saGPmoEuivc,MY FIRST BOXING FIGHT... I BROKE HER NOSE!?,BotezLive,UgyAAuecQGo8VP3W1VN4AaABAg,"This was amazing! I think it would be awesome to make it a trilogy, but that doesn't have to be anytime soon, if ever. You worked your tail off and you definitely did your thing!",Dash Theory TV,ham
BQO0AMveaFk,"Threshold for bullying in danger of being too low, says Dominic Raab",Guardian News,UgxyUl370hkEvfHDUqp4AaABAg.9oml4y_e-fZ9ooIYalfr6j,"[MAIN] Look I was nicked for shoplifting, the threshold for petty theft is set too low.  I don’t believe I stole anything. [REPLY] ​@elyrexo na it's pretty binary, there no room for your toxic attitude anymore dinosaur.",fun off,ham
bKDkiafC7-U,We Played Roblox Battlefield,SMii7Yplus,UgwMSRYNy8CN3ua1kih4AaABAg,this is the most ive laughed in a long time. the chaos is the epidemy of comedy,GlobeMaster Onion,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,FaZe Jev,UgxfLByqYaom8UO4Wut4AaABAg.9ok1cxGHgQJ9omP9nvPLao,"[MAIN] I’m just so happy that the ex cod developers actually takes their time to listen to the community. Every update I’ve seen looks like it makes the game better in a beta. That’s insane.
Still shocked the Ubisoft name is on it. Just as long as the wrong people don’t touch this game then it will be a great launch [REPLY] @LifeIsShørt legion is mainly what I'm referring to. Imo it's the worst game Ubisoft has made in a long time, possibly ever. Poor writing, poor gameplay, just not great all around. But I was never into Watch Dogs to begin with so idk how useful my opinion is on this.",Zack,ham
1WEAJ-DFkHE,"$1 vs $500,000 Plane Ticket!",MrBeast,UgyIjULuL1IxH0F6mm14AaABAg,"Para los que tenian duda con los precios de los boletos (percios aproximados):

$1 USD - $20 MXM
$1,000 USD - $20,000 MXM
$10,000 USD - $200,000 MXM
$100,000 USD - $2,000,000 MXM
$300,000 USD - $6,000,000 MXM
$500,000 USD - $10,000,000 MXM

Sin duda estos muchachos la rompen con todo!!! Saludos desde México😊",5.12k subs challenge with 0 Video,spam
F7dfwKMa_gs,Inside Central Cee’s Louis Vuitton Bag | In The Bag,British Vogue,Ugz1Dq6KTlv3UNv_uKp4AaABAg.9nbgio59JNO9nttUJdPofz,[MAIN] Him geeking over Madeline has to be the cutest thing ever [REPLY] ​@K B no he doesn't he just holds it like that so it doesn't run. And it doesn't hurt anyway... Especially the dogs with extra skin like these.,K,neutral
ShNcXwPwAns,Behind the Stream: Inside the Life of xQc,xQc,Ugy9IamjM-_wJvmpJw54AaABAg.9oXXzr2Wxn69obfP_oAjCl,"[MAIN] The vibes these videos give are so good, it also gives a good insight into the actual life of xqc [REPLY] @yungcorvax LMAO what are you so pressed for? I didn’t say anything wrong. Hope he notices you bro ❤️",Robynne,neutral
C_78DM8fG6E,The Inside Story of ChatGPT’s Astonishing Potential | Greg Brockman | TED,TED,UgxQfbaAw-AGE98_ii14AaABAg,"Bottom line: Greg doesn’t know what happens next, because nobody does. The danger is in the unwillingness to consider that his idea is the only correct way forward. 

Super dangerous.",jSa codes,ham
Kdax_IQXZtE,Deputy PM Dominic Raab resigns over bullying report,Channel 4 News,UgwNHAPj_OwEfMyXAJJ4AaABAg.9omLlh90_w19omZM4sOiSH,"[MAIN] The sense of privilege oozes out of every pore of JRM. Can't see that Raab is any different. 
I'll never forgive Raab's indolence over the withdrawal from Afghanistan. [REPLY] @SubvurzIV. I watched it recently, it made my blood run cold.",John Moore,ham
ShNcXwPwAns,Behind the Stream: Inside the Life of xQc,xQc,Ugy9IamjM-_wJvmpJw54AaABAg.9oXXzr2Wxn69obKeVKv0aV,"[MAIN] The vibes these videos give are so good, it also gives a good insight into the actual life of xqc [REPLY] nice pfp",daniel23,neutral
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,BBCRadio1VEVO,Ugy3gM_WyDjBIq6aaRt4AaABAg.9ogrYIjr9bu9omoQA7sd1v,"[MAIN] PETITION TO HAVE THIS MASTERPIECE ON SPOTIFY 
👇 [REPLY] 100% agree",Lovelyyluciddreams,ham
n_uFzLPYDd8,[Плейлист] Успокаивающий 24-часовой плейлист джазовой музыки и звуки дождя для работы ☕🎧,In The Rain,UgzmuSUShcOICREPZ0d4AaABAg.9mRRF-gySkr9mTyBwhx7dc,"[MAIN] I do enjoy it😉 And today, a rainy   🌧day in London, this music keeps you in your warm home... [REPLY] Jesus is the love of your life.
The kingdom of heaven is like unto a certain king, which made a marriage for his son,
And sent forth his servants to call them that were bidden to the wedding: and they would not come. ✝🌅
Again, he sent forth other servants, saying, Tell them which are bidden, Behold, I have prepared my dinner: my oxen and my fatlings are killed, and all things are ready: come unto the marriage. ✝🌅
But they made light of it, and went their ways, one to his farm, another to his merchandise:
Matthew 22:2-5 ✝🌅",Antwerp Locomotive,spam
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,Magnus Midtbø,UgwYPqxzNrDzNkNES4d4AaABAg,"I think it’s cool, to go against strangers, because you never know who is out there, that one guy that won was massive, but you guys show class, and I am now a fan!",Jacoman S,ham
bgtQh-O4DHQ,ASMR MUKBANG KFC FRIED CHICKEN & CHICKEN SANDWICHES & POPCORN CHICKEN & MAC N CHEESE (No Talking),Zach Choi ASMR,UgxFwG1w_YSLxcrcNjd4AaABAg,does anybody else watch Mukbangs just when they're hungry,DuchessF,ham
1WEAJ-DFkHE,"$1 vs $500,000 Plane Ticket!",MrBeast,UgwgneP8EOSlyIGNPvJ4AaABAg.9nzVaM7KPHV9nzaOJgo8eA,[MAIN] Feastables is available in every Walmart and Albertsons stores in America! (Coming globally later this year) Wuv u guys [REPLY] Hello mrbeast,XxLa_MuertexX,neutral
SsT8tGu-soQ,They're Trying To Steal My Car,Mogul Mail,UgwpEVDFJYq92_nWJ-h4AaABAg.9onF-J2ysnk9ooENCUN3t1,"[MAIN] I'm the curator of an auto museum in upstate New York and I just wanted to thank you for spreading the gospel of kei cars/trucks, Donut Media, the 25 year rule, and doing your part to make weird old cars cool. Keep up the good work and I can hopefully cut my marketing budget aimed to ensure the next generation likes funky cars. Really, thank you. [REPLY] *Here is the full clip explaining why dad left you: (Making fun of bots)*
https://youtu.be/TlBi_ZwmSWA",John Wick 🅥,spam
-U6GRqPHB2s,The Titanfall 2 Achievements were REALLY CRAZY,cronkle,Ugycc0uG_txrkYIK84d4AaABAg,"Hearing Ion being called the ""sniper"" loadout feels kinda funny. 
Anyway, a few pointers to the gauntlet:
    1. Starting the run from a wallride before the start gives some extra speed. 
    2. The reasoin arc grenades don't hit seem to be no LoS. The small platforms sometimes apparently block the grenades LoS so it doesn't hit. 

Also I believe the first Pilot helmet is bit sooner, on the drop pod with the prowlers. I might be wrong tho, it's been a few months for me",Rans0mware,ham
2mgUPt2KI08,The Life of Jesus | English | Official Full HD Movie,Jesus.net,UgxInwJ78etYYvynZi94AaABAg,"Jesus is the gift of life, please do not abandon him, for he will always be with you.",Angelica Low,ham
LyVlvu8BoNU,The Worst Product We’ve Tried in YEARS!,Linus Tech Tips,Ugz46Cogp1dfOB-OD754AaABAg.9ojuGPZ_ixO9on2JAxoEtN,"[MAIN] Thanks Guard.io for sponsoring this video. Protect yourself from those pesky scammers! Save 20% on a monthly subscription plus a 7-day trial of Guard.io at https://guard.io/LinusTechTips [REPLY] Ok Pinus, why did you delete my comments!?",WTF To Late!,neutral
Pnva-dZm75g,The Depressing World Of Rapper's Fake Lifestyles,NOC NOC,Ugweucg3cImj1872vDF4AaABAg,These guys promote an image that's damaging to their own. Sad for those who take the bait. Glad you're raising this issue.,ssssssssss,ham
TEXEDyOn-4o,The Easiest Chili Garlic Noodles Ever (3 Ways),Joshua Weissman,UgyQBeu3VdIMVS4vrHV4AaABAg,If josh ever has kids they’re gonna be lucky with breakfast lunch and supper:(,SkyeTheAimbotter,ham
2mgUPt2KI08,The Life of Jesus | English | Official Full HD Movie,Jesus.net,UgwQWAfV3uBAYQqPwgl4AaABAg,Very well written from what I can tell! 😀,Jarvaun Lindsay,neutral
3hhPBAConqo,Watching Andrew Tate Until he Insults me,One Giant Onion,UgzU8Dc6f0x8fCb4fil4AaABAg.9nyYHJPZt0a9oj5Pz-_NnV,"[MAIN] Longest he’s lasted [REPLY] @Connor I can't believe there are still people like you who can't take a joke. You're just another snowflake who can't handle the truth. Your comment is nothing but fake news. How dare you accuse me of staging something when I'm clearly speaking the truth. It's people like you who are ruining this country with your politically correct nonsense. If you can't handle the heat, then get out of the kitchen. Your ignorance is showing, and it's not a good look for you. Keep your opinions to yourself if you can't handle the truth.",Arsi Arskila,neutral
ShNcXwPwAns,Behind the Stream: Inside the Life of xQc,xQc,Ugx3FBXDc0tuISHqhcB4AaABAg.9oXbOUF4c1L9oYHkqH6i7E,[MAIN] I like how the cameraman felt like a genuine friend within the group rather than just someone being hired to do the job. [REPLY] Reminded me of Chris Long tbh,Hermann,neutral
LjIaeJH57-Q,Ukraine War: NATO allies 'agree Ukraine will become member',Sky News,UgxxWG9GbfKVk51wc6V4AaABAg.9om-3JvZOhX9oocKSIQ-lF,"[MAIN] It was a Russian glide bomb (looks like a FAB-500) . The  wings failed to open , time fuse was used for either a bunker  or some sort of fortified target. The FAB upgrade did not go too well . [REPLY] Have patience. Getting it right takes practice. Ukraine is good for it.",AV Mariamma,ham
TEXEDyOn-4o,The Easiest Chili Garlic Noodles Ever (3 Ways),Joshua Weissman,Ugz3GntDCsi2A7wcFsx4AaABAg,"it's a chinese dish. usually called ""thick potato noodle"", sometimes made with sauce in your video, sometimes also mixed with sesame sauce which is also great!",Pei Siqiong,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,Lyrical Lemonade,Ugya5jnp7ajPk2yfpVN4AaABAg,WATCH THE BEHIND THE SCENES OF “PEACHES” HERE: https://youtu.be/s9vCadTowVs 🍑,Lyrical Lemonade,ham
GqcR8t9DyEc,Best tiktok songs 2023 🍦 Trending tiktok 2023 ~ Tiktok viral songs,Love Life Lyrics,UgwlqGHumYgC5zAuGTp4AaABAg,I love this song too and I love it when you have some time to think about it too many ways to make it look like a good movie and you have a good girl,Nyaladzi Juta,ham
saGPmoEuivc,MY FIRST BOXING FIGHT... I BROKE HER NOSE!?,BotezLive,UgzcoygH7lGh0MayDk14AaABAg.9onKson8Ej29ooWhUTXfB4,"[MAIN] Truly grateful for the opportunity we had to motivate each other these past few months, and I am really proud of us. You were an absolute monster in the ring and I am SO HAPPY we never have to punch each other in the face ever again. Can’t wait to see your video about your full journey. 💜 [REPLY] You should learn how to eat each other and make a video on it",William,ham
iCG_hMoURJA,Well...What A Week,JJ Olatunji,UgwXTF43AxRLBOEIlYl4AaABAg.9oSTZZVjHsl9ojuxQshgAh,[MAIN] We appreciate your kindness JJ. Hope to meet you one day [REPLY] STEVE HEEEEEEEEE,SlinkySled,neutral
6x7Sbiy5Pw0,How to SHOOT WITH POWER Regardless of your Technique,The Football Folk,UgyXs5CCVa31aqQaLGt4AaABAg,"If i may i'll add a couple of things. There are 2 aspects of the topic shooting with power, 1: technique, which this video revolves around, and secondly: physical ability like agility and raw power.
A few tips, the shot i tried to master through my playing days was the Roberto Carlos like all-in style from distance. As a big kid i grew my legs to a huge size(86cm thighs and 51 cm. calves) by doing a lot of accelerations on my mountainbike, i rode that thing everywhere, so those wide tires and always pushing myself to the limit on the bike helped develop quick fibered musclemass. I also had a thing with stairs, i never just did one step, i always did 2 og 3 steps at the time. 
I think an underated thing about shooting with power is agility and flexibility. If you practice thorough stretching after efforts, your muscles and ligaments will gain some length which in the kicking of the ball will add some free movement, which will increase power in the followthrough, also there is the lowering of risk of injuries.
When i praticed i kicked as hard as i could everytime, that i think also gained power over the years, but could i go back i'd take 5 percent of the top and focus a lot more on technique. 
I got the power up to where i have never seen anyone kick as hard as I could, but my technique was flawed at best. And i could kick so hard that I was afraid of hitting the wall, that was always my main concern! I know as a 17 year old, that i kicked 127km/t that was the last measument of it i know, but at 20 -21 it was much harder, maybe 140-150 km/t. The ball whistled in the air!
Anyway I could talk for hours about that, but this is getting long, so tha'ts it for me:)",SteveRiverwood,ham
Kdax_IQXZtE,Deputy PM Dominic Raab resigns over bullying report,Channel 4 News,UgxNKe0N_HYB369jdnF4AaABAg.9omIzRjmhzx9ooVABbPmCi,[MAIN] How many cabinet ministers have gone now? Knock them down but another one springs up like a Jack -in-the-box. We should be rid of the lot. [REPLY] @r8chelletters Someone needs to go and figure out how UK elections work.,G W,ham
w6JXZ3GzSCQ,The Billion Dollar Scam - BBC World Service,BBC World Service,UgyX3XHsFTl8nEkV3oR4AaABAg,"Excellent documentary and one brave, seriously good journalist. We need more like you. And people curb your greed and do your own research into everything. If someone's promising you the moon it's a scam.",Mike Browne,ham
n_uFzLPYDd8,[Плейлист] Успокаивающий 24-часовой плейлист джазовой музыки и звуки дождя для работы ☕🎧,In The Rain,UgzzI_7cVMEGLIl2ZiJ4AaABAg.9mH5wdb8Yfg9mTvj93iJAT,"[MAIN] Спасибо большое за прекрасную музыку! Музыка идеальна для работы и просто расслабиться 🤗 [REPLY] But they that wait upon the Lord
shall renew their strength;
they shall mount up with wings as eagles;
they shall run, and not be weary;
and they shall walk, and not faint.
Isaiah 40:31 ✝🌅",Miriad Lamentations,spam
